"RANK","NAME","TEAM","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Daeqwon Plowden","Atl","G-F","26.4","2","16.4","14.8","8.7","2","1","2","1","8","0.75","1.1","1.103","12","2.5","0","0","0","0.5","14.5","12","14.5","0","176.4","106.9"
"","Isaiah Collier","Uta","G","20.3","41","22.7","17.7","29.5","44","0.636","177","0.492","86","0.209","0.433","0.453","6.2","2.9","5.3","0.8","0.2","2.7","9.1","11.6","14.5","8","92.5","112.7"
"","Kel'el Ware","Mia","C","20.8","34","18.1","18.1","10.5","33","0.727","152","0.612","61","0.41","0.613","0.626","8.4","5.5","0.6","0.6","1","0.7","13.9","9","14.5","6.7","118","105.2"
"","Jake LaRavia","Mem","F","23.3","47","20.9","14.3","22.2","96","0.698","151","0.517","90","0.444","0.573","0.605","7.3","4.4","2.8","0.9","0.4","1.5","11.7","10.1","14.5","8.6","118","105.3"
"","Jordan Hawkins","Nor","G","22.8","33","23.2","21.6","8.2","62","0.839","141","0.411","195","0.328","0.458","0.495","10.9","2.5","1","0.7","0.4","0.9","13.4","11.9","14.4","5.2","99.7","122"
"","Miles McBride","Nyk","G","24.4","41","23.3","16.8","8.3","41","0.829","134","0.5","188","0.367","0.53","0.551","9.1","2.4","2.7","0.9","0.2","0.7","11.5","11.9","14.3","6.7","119.5","112.7"
"","Svi Mykhailiuk","Uta","G-F","27.7","19","19.1","23.2","16","17","0.765","46","0.587","116","0.353","0.546","0.561","10","2.4","1.8","0.7","0.3","1.6","12.4","11.8","14.2","7.3","103.2","115.8"
"","Tristan da Silva","Orl","F","23.7","49","25.6","15.2","10.8","48","0.854","186","0.522","184","0.332","0.509","0.534","8.5","4","1.7","0.5","0.2","0.9","12.5","10.2","14.2","6","109.6","109.5"
"","Noah Clowney","Bro","F-C","20.6","37","23","18.8","11.3","60","0.85","90","0.422","209","0.354","0.498","0.536","9.4","3.9","0.8","0.5","0.5","1","13.4","10.2","14.2","5.4","104","109.1"
"","Lonzo Ball","Chi","G","27.3","30","21.6","15.6","15.5","21","0.857","34","0.471","162","0.34","0.503","0.524","7.2","3.4","3.5","1.5","0.5","1.2","10.6","10.6","14.1","8.2","109.3","110.8"
"","Jonas Valanciunas","Sac","C","32.8","1","17.4","21.8","0","2","1","8","0.25","0","0","0.25","0.338","6","5","3","0","0","0","11","9","14","10.3","102.3","107.2"
"","Jaylin Williams","Okc","F","22.6","22","17.1","15.8","11.1","10","1","37","0.541","83","0.325","0.504","0.527","6","5.6","2.4","0.5","0.7","0.7","11.6","8.4","14","10.1","119.1","95.9"
"","Cam Whitmore","Hou","F","20.6","32","17.3","24.8","10.9","48","0.708","152","0.52","126","0.333","0.511","0.532","9.9","3.2","0.8","0.7","0.3","1.1","13.2","10.8","14","6.8","105.8","107.5"
"","Larry Nance Jr.","Atl","F-C","32.1","21","19.1","15","9.1","12","0.75","65","0.569","65","0.446","0.619","0.628","8.1","4.4","1.5","0.9","0.6","0.6","12.5","9.6","14","7.9","123.6","109.1"
"","Nickeil Alexander-Walker","Min","G","26.4","52","23.9","15.9","14.6","52","0.731","145","0.503","222","0.396","0.559","0.575","8.6","2.9","2.4","0.6","0.3","1.2","11.5","11","13.9","6.5","112.2","108.9"
"","Brandon Clarke","Mem","F","28.4","47","18.8","14.5","9.4","57","0.684","252","0.655","16","0.063","0.621","0.635","7.9","5","1","0.9","0.6","0.6","12.9","8.9","13.9","7.2","129","100.5"
